,Message Body,Message Title,Sent On,NOTIFICATION,INCIDENT / CLERY 1,INCIDENT / CLERY 2,LOC_D,DES1_D,DES2_D,PV_D,PS_D,LOC_S,DES1_S,DES2_S,PV_S,PS_S,LOC_C,DES1_C,DES2_C,PV_C,PS_C,LOC_E,DES1_E,DES2_E,PV_E,PS_E
1,"Community: University of California Berkeley Police Department Pledges to Advance Women in Policing. UCPD has signed on to the @30x30Initiative to improve the representation and experiences of women across all ranks in law enforcement. (Currently, it's 24% at UCPD Berkeley.)",Community: University of California Berkeley Police Department Pledges to Advance Women in Policing,"Aug 02, 2021 09:11:32 PDT",Community Advisory ,None,None,All campus,Memorable detail,none,none,none,All campus,Safety Instructions / Tips,none,none,none,,,,,,,,,,
2,UC Berkeley WarnMe: Police activity at Latimer Hall. AVOID THE AREA until further notice. Hazardous condition at Latimer Hall - Please avoid the area.,UC Berkeley WarnMe: AVOID THE AREA of Latimer Hall,"Aug 08, 2021 19:09:00 PDT",Emergency Notification,Incident: Police Activity,None,Address / Specific Named,Safety Instructions / Tips,none,none,none,Address / Specific Named,Safety Instructions / Tips,none,none,none,,,,,,,,,,
3,All clear. Resume normal operations,UC Berkeley WarnMe: AVOID THE AREA of Latimer Hall,"Aug 08, 2021 20:03:10 PDT",All Clear,Incident: Police Activity,None,Address / Specific Named,Safety Instructions / Tips,none,none,none,Address / Specific Named,Safety Instructions / Tips,none,none,none,,,,,,,,,,
4,UC Berkeley WarnMe: ALL CLEAR: Fire extinguished at 2500 Block of Haste Street. Emergency responders are leaving.,ALL CLEAR [Fire at 2500 Block of Haste Street],"Aug 19, 2021 12:41:53 PDT",All Clear,Incident: Fire,None,Block,Safety Instructions / Tips,none,none,none,Address / Specific Named,Safety Instructions / Tips,none,none,none,,,,,,,,,,
5,"UC Berkeley WarnMe: A fire has been reported at Fire at 2500 Block of Haste Street. Evacuate to your Emergency Assembly Area if you are in the building. Please stay clear of responders in the area. 
 UCPD and other emergency personnel are responding. On scene responders and staff will share any immediate next actions. 
 Stay tuned to UC Berkeley WarnMe for continued information.",UC Berkeley WarnMe: Fire at Fire at 2500 Block of Haste Street - AVOID THE AREA,"Aug 19, 2021 12:04:52 PDT",Emergency Notification,Incident: Fire,None,Block,Safety Instructions / Tips,none,none,none,Address / Specific Named,Safety Instructions / Tips,none,none,none,,,,,,,,,,
6,UC Berkeley WarnMe: AVOID THE AREA of Sather Gate until further notice.,UC Berkeley WarnMe: AVOID THE AREA of Sather Gate,"Aug 25, 2021 10:43:10 PDT",Emergency Notification,None,None,Radius / Area,Safety Instructions / Tips,none,none,none,Radius / Area,Safety Instructions / Tips,none,none,none,,,,,,,,,,
7,UC Berkeley WarnMe: The protest activity at Sather Gate has concluded.,UC Berkeley WarnMe: Protest activities at Sather Gate have concluded,"Aug 25, 2021 15:10:39 PDT",All Clear,Incident: Protest Activity,None,Radius / Area,Safety Instructions / Tips,none,none,none,Radius / Area,Safety Instructions / Tips,none,none,none,,,,,,,,,,
8,"UC Berkeley WarnMe: Police activity at 2400-2500 Block of Telegraph Ave. AVOID THE AREA until further notice. 
 Police Activity - Please stay out the area.",UC Berkeley WarnMe: AVOID THE AREA of 2400-2500 Block of Telegraph Ave,"Aug 27, 2021 11:43:08 PDT",Emergency Notification,Incident: Police Activity,None,Block,Safety Instructions / Tips,none,none,none,Block,Safety Instructions / Tips,none,none,none,,,,,,,,,,
9,UC Berkeley WarnMe: **All Clear** 2400-2500 Block of Telegraph Ave. Police Activity completed.,UC Berkeley WarnMe: AVOID THE AREA of **All Clear** 2400-2500 Block of Telegraph Ave,"Aug 27, 2021 12:06:11 PDT",All Clear,Incident: Police Activity,None,Block,Safety Instructions / Tips,none,none,none,Block,Safety Instructions / Tips,none,none,none,,,,,,,,,,
10,"Please note this message may contain information that some may find upsetting. 
 On 08-27-2021 11:10:00, an aggravated assault occurred at People's Park. 
 A witness reported to UCPD an unknown suspect committed an aggravated assault in People's Park. The suspect used a chair to strike the victim. The suspect is not in custody.",Violent Crime Reported at People's Park - Please note this message may contain information that some may find upsetting.,"Aug 27, 2021 11:30:43 PDT",Timely Warning ,Aggravated Assault,None,Block,Touch ,People's Park,none,none,Address / Specific Named,People's Park,People's Park,"No Race, Gender Neutral","No Race, Gender Neutral",,,,,,,,,,
